titre;nationalité;sortie;entrées (millions)
BOULE ET BILL;FRANCE / BELGIQUE / LUXEMBOURG;27/02/2013;2006836
WOLVERINE : LE COMBAT DE L'IMMORTEL;ETATS UNIS;24/07/2013;1987860
9 MOIS FERME;FRANCE;16/10/2013;1986001
MAJORDOME (LE);ETATS UNIS;11/09/2013;1947590
VERY BAD TRIP 3;ETATS UNIS;29/05/2013;1932392
DIE HARD : BELLE JOURNEE POUR MOURIR;ETATS UNIS;20/02/2013;1831763
JAPPELOUP;FRANCE  / CANADA;13/03/2013;1819770
EYJAFJALLOJOKULL;FRANCE;02/10/2013;1770597
HOTEL TRANSYLVANIE;ETATS UNIS;13/02/2013;1700011
BELLE ET SEBASTIEN;FRANCE;18/12/2013;1678232
GAMINS (LES);FRANCE;17/04/2013;1646663
PLANES;ETATS UNIS;09/10/2013;1634078
GATSBY LE MAGNIFIQUE;AUSTRALIE;15/05/2013;1584540
MONDE FANTASTIQUE D'OZ (LE);ETATS UNIS;13/03/2013;1563134
ELYSIUM;ETATS UNIS;14/08/2013;1516122
PERCY JACKSON : LA MER DES MONSTRES;ETATS UNIS;14/08/2013;1469378
BLUE JASMINE;ETATS UNIS;25/09/2013;1425340
20 ANS D'ECART;FRANCE;06/03/2013;1402768
LINCOLN;ETATS UNIS;30/01/2013;1360610
OBLIVION;ETATS UNIS;10/04/2013;1330952
AFTER EARTH;ETATS UNIS;05/06/2013;1275654
CASSE-TETE CHINOIS ;FRANCE / BELGIQUE;04/12/2013;1273001
CAGE DOREE (LA);FRANCE;24/04/2013;1228894
EPIC : LA BATAILLE DU ROYAUME SECRET;ETATS UNIS;22/05/2013;1212733
HOBBIT : UN VOYAGE INATTENDU (LE);NOUVELLE ZELANDE;12/12/2012;1178106
SUR LE CHEMIN DE L'ECOLE;FRANCE;25/09/2013;1168029
ALCESTE A BICYCLETTE;FRANCE;16/01/2013;1167342
CONJURING, LES DOSSIERS WARREN;ETATS UNIS;21/08/2013;1163984
LONE RANGER, NAISSANCE D'UN HEROS;ETATS UNIS;07/08/2013;1149279
PRISONERS;ETATS UNIS;09/10/2013;1134394
VIVE LA FRANCE;FRANCE;20/02/2013;1107206
MOBIUS;FRANCE / LUXEMBOURG / BELGIQUE;27/02/2013;1095336
DE L'AUTRE COTE DU PERIPH;FRANCE;19/12/2012;1075619
HAPPINESS THERAPY;ETATS UNIS;30/01/2013;1067637
PAULETTE;FRANCE;16/01/2013;1033692
PACIFIC RIM;ETATS UNIS;17/07/2013;1024853
LOUP DE WALL STREET (LE);ETATS UNIS;25/12/2013;1015251
SKYFALL;GRANDE BRETAGNE;26/10/2012;6809201
AGE DE GLACE 4 : LA DERIVE DES CONTINENTS (LA);ETATS UNIS;27/06/2012;6635367
SUR LA PISTE DU MARSUPILAMI;FRANCE;04/04/2012;5298214
TWILIGHT - CHAPITRE 5 : REVELATION (2E PARTIE);ETATS UNIS;14/11/2012;4429780
AVENGERS;ETATS UNIS;25/04/2012;4413528
THE DARK KNIGHT RISES;GRANDE BRETAGNE;25/07/2012;4410644
VERITE SI JE MENS 3 (LA);FRANCE;01/02/2012;4111213
ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTE;FRANCE  / HONGRIE / ESPAGNE / ITALIE;17/10/2012;3788194
MADAGASCAR 3 : BONS BAISERS D'EUROPE;ETATS UNIS;06/06/2012;3410251
HOBBIT : UN VOYAGE INATTENDU (LE);NOUVELLE ZELANDE;12/12/2012;3354874
PRÉNOM (LE);FRANCE;25/04/2012;3337091
REBELLE;ETATS UNIS;01/08/2012;3161238
TAKEN 2;FRANCE;03/10/2012;2905166
INTOUCHABLES;FRANCE;02/11/2011;2827043
SEIGNEURS (LES);FRANCE;26/09/2012;2730554
THE AMAZING SPIDER-MAN;ETATS UNIS;04/07/2012;2543141
SHERLOCK HOLMES : JEU D'OMBRES;GRANDE BRETAGNE;25/01/2012;2387738
CINQ LEGENDES (LES);ETATS UNIS;28/11/2012;2278252
INFIDÈLES (LES);FRANCE;29/02/2012;2259752
MEN IN BLACK 3;ETATS UNIS;23/05/2012;2121353
BLANCHE-NEIGE ET LE CHASSEUR;ETATS UNIS;13/06/2012;1976449
EXPENDABLES 2 : UNITE SPECIALE;ETATS UNIS;22/08/2012;1961556
DARK SHADOWS;GRANDE BRETAGNE;09/05/2012;1951178
DE ROUILLE ET D'OS;FRANCE  / BELGIQUE;17/05/2012;1906307
PROJET X;ETATS UNIS;14/03/2012;1845454
PROMETHEUS;ETATS UNIS;30/05/2012;1836615
STARS 80;FRANCE;24/10/2012;1834024
UN BONHEUR N'ARRIVE JAMAIS SEUL;FRANCE;27/06/2012;1828827
CLOCLO;FRANCE  / BELGIQUE;14/03/2012;1761084
HUNGER GAMES;ETATS UNIS;21/03/2012;1730099
THE ARTIST;FRANCE;12/10/2011;1578896
AMERICAN PIE 4;ETATS UNIS;02/05/2012;1516198
J. EDGAR;ETATS UNIS;11/01/2012;1448178
MINCE ALORS !;FRANCE;28/03/2012;1445744
ZARAFA;FRANCE;08/02/2012;1441142
CLOCHETTE ET LE SECRET DES FEES;ETATS UNIS;10/10/2012;1438569
TED;ETATS UNIS;10/10/2012;1377414
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE;ETATS UNIS;15/02/2012;1320696
TOTAL RECALL : MEMOIRES PROGRAMMEES;ETATS UNIS;15/08/2012;1276672
UN PLAN PARFAIT;FRANCE  / BELGIQUE;31/10/2012;1224814
MONDES DE RALPH (LES);ETATS UNIS;05/12/2012;1199597
DANS LA MAISON;FRANCE;10/10/2012;1184275
DE L'AUTRE COTE DU PERIPH;FRANCE;19/12/2012;1181416
ARGO;ETATS UNIS;07/11/2012;1154807
TITANIC;ETATS UNIS;07/01/1998;1138807
SEXY DANCE 4 : MIAMI HEAT;ETATS UNIS;08/08/2012;1133681
MILLENIUM : LES HOMMES QUI N'AIMAIENT PAS LES FEMMES;ETATS UNIS;18/01/2012;1077675
ALVIN ET LES CHIPMUNKS 3;ETATS UNIS;21/12/2011;1070591
BATTLESHIP;ETATS UNIS;11/04/2012;1058888
VACANCES DE DUCOBU (LES);FRANCE;25/04/2012;1055784
KAIRA (LES);FRANCE;11/07/2012;1020647
CHRONICLE;ETATS UNIS;22/02/2012;1019368
POPULAIRE;FRANCE  / BELGIQUE;28/11/2012;1009578
INTOUCHABLES;FRANCE;02/11/2011;16672833
RIEN A DECLARER;FRANCE / BELGIQUE;02/02/2011;8102335
HARRY POTTER ET LES RELIQUES DE LA MORT (2E PARTIE);GRANDE BRETAGNE;13/07/2011;6519839
AVENTURES DE TINTIN : LE SECRET DE LA LICORNE (LES);ETATS UNIS;26/10/2011;5368867
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE;ETATS UNIS / GRANDE BRETAGNE;18/05/2011;4668413
TWILIGHT - CHAPITRE 4 : REVELATION 1ÈRE PARTIE;ETATS UNIS;16/11/2011;3612738
CHAT POTTE (LE);ETATS UNIS;30/11/2011;3431097
